City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Lorengau,PG,2021-07-14 20:35:20,-2.0226,147.2712,81.45,80,87,8.86
277,Carmo Do Paranaiba,BR,2021-07-14 20:31:18,-19.0008,-46.3161,70.75,50,0,5.55
278,Troitskoye,RU,2021-07-14 20:35:20,52.9821,84.6757,63.37,73,100,6.51
279,Acapulco,MX,2021-07-14 20:32:24,16.8634,-99.8901,89.42,62,75,8.05
280,Popondetta,PG,2021-07-14 20:35:21,-8.7537,148.2534,72.52,84,100,3.42
281,Tomatlan,MX,2021-07-14 20:35:21,19.9333,-105.25,90.55,54,100,6.24
282,Nyagan,RU,2021-07-14 20:35:21,62.1406,65.3936,43.7,67,0,4.23
283,Dingle,PH,2021-07-14 20:32:26,10.9995,122.6711,76.33,89,90,1.7
284,Buriti Bravo,BR,2021-07-14 20:35:22,-5.8372,-43.8336,85.59,33,26,3.38
285,Gazanjyk,TM,2021-07-14 20:31:41,39.2446,55.5154,85.55,21,58,6.51
286,Cabra,ES,2021-07-14 20:35:22,37.4725,-4.4421,83.5,50,40,5.95
287,Ilulissat,GL,2021-07-14 20:30:54,69.2167,-51.1,42.82,87,90,12.66
288,Bend,US,2021-07-14 20:35:23,44.0582,-121.3153,93.25,21,1,1.99
289,Meulaboh,ID,2021-07-14 20:33:10,4.1363,96.1285,75.43,86,94,2.3
290,Iquique,CL,2021-07-14 20:33:58,-20.2208,-70.1431,60.84,79,29,8.23
291,Hobyo,SO,2021-07-14 20:31:21,5.3505,48.5268,77.58,78,44,26.89
